total_time9,gmrt_on_paper10,mean_speed_on_paper10,paper_time11,mean_gmrt14,total_time15,air_time17,mean_jerk_in_air17,total_time17,air_time19,max_x_extension19,mean_speed_on_paper19,num_of_pendown19,pressure_mean19,total_time19,air_time22,air_time23,paper_time23,total_time23,total_time25,class
5250,207.5072999,4.105610816,2505,316.175693,8285,2865,0.858757243,16105,17655,6922,2.2732422,40,1888.379027,38920,2010,2890,4035,6925,43805,0
5340,236.2016195,4.541462383,3080,291.5897572,27655,38580,0.121064089,59760,62605,6989,2.170407733,28,1926.120751,80990,7560,2015,5225,7240,76560,1
6530,119.498966,2.063477023,5215,144.3474986,16920,22450,0.182692371,46630,308635,7625,2.616342475,50,1877.999169,338705,2820,3370,5160,8530,252180,1
38780,80.57173761,1.496836121,7220,50.84739315,27490,43995,0.062531469,76315,56620,2522,2.017596666,34,1314.015066,75205,6335,3845,5845,9690,249090,1
12120,160.7145017,3.136146424,3860,234.5811723,24755,28775,0.152932219,45450,29940,7665,2.609689014,57,1574.315879,53525,5400,4735,4165,8900,314885,1
9615,169.4869886,3.363035615,3810,310.2292267,176595,80675,0.244525576,103775,48340,6570,1.06229846,26,1289.040639,79960,28390,10960,9900,20860,166635,1
3985,229.3561252,4.718066689,2180,329.3812965,5925,10850,0.376324314,26900,12490,7033,2.743603256,31,1640.441222,31800,2190,2920,4655,7575,35530,0
69020,87.63808502,1.608085254,3015,114.6427903,67980,52875,0.11192661,80275,48630,7570,3.031559998,60,1911.648042,66885,8065,10490,10175,20665,159815,1
4690,321.3978407,6.297007866,3565,157.0124443,46485,51180,0.119085498,72835,61165,7476,1.757216914,58,810.8005051,86905,3240,4710,4705,9415,245265,1
2760,242.4683151,4.975085614,1820,339.1136574,9305,17400,0.270096542,41200,40990,14953,2.438045977,44,1693.622363,57580,1705,2315,3075,5390,44705,0
7665,187.6627074,3.84813897,1990,298.6046823,5195,7950,0.445967829,22530,27925,7220,2.496139536,43,1802.359913,51000,1855,1710,3615,5325,60270,0
4420,262.7892404,5.224286936,1990,221.5092098,19865,16185,0.237550683,31120,9170100,7457,1.823022393,52,1868.644808,9206165,5125,2795,3385,6180,341405,0
10695,147.1839699,2.934474262,3570,192.8567459,20065,12210,0.30126371,30440,51750,7255,1.990337928,62,1816.919815,80870,3665,2475,4700,7175,90850,0
8950,188.9738042,3.340856795,5365,262.3775998,16500,24395,0.17948111,47745,77010,7417,1.883663333,48,763.80583,107370,6260,4160,4885,9045,90485,1
21820,37.37097307,0.643332634,5970,129.1913067,54665,94480,0.094345751,149055,44445,7471,2.219357796,49,1819.413028,72155,8275,6255,7415,13670,106760,1
7650,275.3249094,5.66567765,2260,193.3816322,12310,19350,0.225159855,31425,99995,6458,2.235358782,62,1283.716242,123730,3735,3810,5010,8820,88000,1
4059,206.7425493,4.183828894,2190,237.2394683,32674,4895,0.637325244,19350,29250,7290,2.084326817,52,1716.552046,51730,2240,2655,4115,6770,51635,0
9595,147.1193925,2.95849331,3055,110.0641488,24215,39140,0.134648223,59335,57765,7204,3.212353365,42,1931.925464,77420,7125,12470,15685,28155,108950,1
4465,133.5492842,2.650131147,2530,138.9326696,17030,9720,0.264876876,26355,105950,6682,1.545236802,62,662.6404739,142665,41270,21280,15330,36610,209480,1
6130,236.1275421,4.321591453,1995,111.5529742,13465,21045,0.481915182,32965,36325,7342,2.484800055,35,1925.246829,61950,24000,15710,6295,22005,59175,1
10815,172.609073,3.182144347,3705,172.5863524,52120,46780,0.120851781,70750,90485,5968,1.784808812,28,1778.353301,106010,3135,5505,5350,10855,47440,1
76555,68.38625533,1.004849718,11140,170.551718,58615,92195,0.095337308,114010,119020,2011,0.793933553,27,1332.693282,145070,16665,8180,5070,13250,177155,1
25980,152.6197377,3.064861825,440,170.2047181,55195,27365,0.158637658,47430,45755,7169,1.564734104,39,1393.459504,66930,6325,8565,4835,13400,95860,1
5675,252.3855496,4.6911855,2830,263.5595316,18630,12600,0.290990962,30425,36325,7342,2.484800055,35,1925.246829,61950,26545,15585,4500,20085,181970,1
5070,210.1655687,3.994583107,2045,249.7212351,10545,10215,0.383728982,23570,16470,7531,2.605343554,30,1549.833129,36905,3030,2660,3455,6115,52065,0
